# IRI ion data (2026-06-22T17:00:00 UTC, lat=38.983 lon=-76.850)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.880000e+02 8.225211e+11 7.125927e+02 1.301644e+03 5.851658e+11 6.959464e+10 1.247367e+11 9.580091e+09
1.890000e+02 8.290733e+11 7.135416e+02 1.315607e+03 5.997444e+11 6.708282e+10 1.197790e+11 9.640938e+09
1.900000e+02 8.354951e+11 7.144523e+02 1.329552e+03 6.140677e+11 6.461980e+10 1.149312e+11 9.694210e+09
1.910000e+02 8.417823e+11 7.153267e+02 1.343473e+03 6.281190e+11 6.220850e+10 1.101992e+11 9.740041e+09
1.920000e+02 8.479301e+11 7.161660e+02 1.357367e+03 6.418830e+11 5.985144e+10 1.055879e+11 9.778608e+09
1.930000e+02 8.539342e+11 7.169718e+02 1.371228e+03 6.553462e+11 5.755066e+10 1.011014e+11 9.810107e+09
1.940000e+02 8.597901e+11 7.177453e+02 1.385048e+03 6.684964e+11 5.530792e+10 9.674270e+10 9.834712e+09
1.950000e+02 8.654933e+11 7.184879e+02 1.398820e+03 6.813221e+11 5.312461e+10 9.251444e+10 9.852653e+09
1.960000e+02 8.710392e+11 7.192008e+02 1.412534e+03 6.938138e+11 5.100168e+10 8.841810e+10 9.864142e+09
1.970000e+02 8.764238e+11 7.198852e+02 1.426177e+03 7.059629e+11 4.893986e+10 8.445457e+10 9.869412e+09
1.980000e+02 8.816427e+11 7.205422e+02 1.439736e+03 7.177623e+11 4.693954e+10 8.062407e+10 9.868695e+09
1.990000e+02 8.866915e+11 7.211730e+02 1.453197e+03 7.292051e+11 4.500078e+10 7.692613e+10 9.862219e+09
2.000000e+02 8.915662e+11 7.217786e+02 1.466539e+03 7.402860e+11 4.312356e+10 7.336004e+10 9.850237e+09
2.010000e+02 8.962624e+11 7.232018e+02 1.479744e+03 7.510646e+11 4.128541e+10 6.988733e+10 9.829113e+09
2.020000e+02 9.007763e+11 7.246251e+02 1.492788e+03 7.614706e+11 3.950894e+10 6.654511e+10 9.802843e+09
2.030000e+02 9.051035e+11 7.260483e+02 1.505647e+03 7.715007e+11 3.779339e+10 6.333126e+10 9.771672e+09
2.040000e+02 9.092404e+11 7.274716e+02 1.518294e+03 7.811527e+11 3.613796e+10 6.024340e+10 9.735853e+09
2.050000e+02 9.131827e+11 7.288948e+02 1.530701e+03 7.904241e+11 3.454167e+10 5.727902e+10 9.695634e+09
2.060000e+02 9.169267e+11 7.303181e+02 1.542842e+03 7.993138e+11 3.300345e+10 5.443524e+10 9.651257e+09
2.070000e+02 9.204683e+11 7.317413e+02 1.554690e+03 8.078204e+11 3.152213e+10 5.170924e+10 9.602952e+09
2.080000e+02 9.238042e+11 7.331645e+02 1.566222e+03 8.159434e+11 3.009657e+10 4.909810e+10 9.550957e+09
2.090000e+02 9.269302e+11 7.345877e+02 1.577419e+03 8.236817e+11 2.872552e+10 4.659888e+10 9.495480e+09
2.100000e+02 9.298426e+11 7.360110e+02 1.588266e+03 8.310346e+11 2.740774e+10 4.420866e+10 9.436742e+09
2.110000e+02 9.325379e+11 7.374342e+02 1.598755e+03 8.380019e+11 2.614200e+10 4.192455e+10 9.374935e+09
2.120000e+02 9.350119e+11 7.388574e+02 1.608888e+03 8.445827e+11 2.492706e+10 3.974375e+10 9.310265e+09
2.130000e+02 9.372612e+11 7.402807e+02 1.618668e+03 8.507769e+11 2.376163e+10 3.766333e+10 9.242904e+09
2.140000e+02 9.392815e+11 7.417039e+02 1.628111e+03 8.565840e+11 2.264452e+10 3.568055e+10 9.173037e+09
2.150000e+02 9.410690e+11 7.431271e+02 1.637233e+03 8.620034e+11 2.157441e+10 3.379249e+10 9.100826e+09
2.160000e+02 9.426194e+11 7.445504e+02 1.646059e+03 8.670347e+11 2.055002e+10 3.199624e+10 9.026433e+09
2.170000e+02 9.439278e+11 7.459736e+02 1.654614e+03 8.716766e+11 1.957005e+10 3.028886e+10 8.950002e+09
2.180000e+02 9.449888e+11 7.473969e+02 1.662924e+03 8.759283e+11 1.863316e+10 2.866730e+10 8.871673e+09
2.190000e+02 9.457959e+11 7.488201e+02 1.671019e+03 8.797870e+11 1.773798e+10 2.712849e+10 8.791567e+09
2.200000e+02 9.463406e+11 7.502433e+02 1.678923e+03 8.832491e+11 1.688312e+10 2.566924e+10 8.709773e+09
2.210000e+02 9.466081e+11 7.516666e+02 1.686662e+03 8.863040e+11 1.606719e+10 2.428649e+10 8.626350e+09
2.220000e+02 9.466081e+11 7.530898e+02 1.694260e+03 8.889659e+11 1.528879e+10 2.297690e+10 8.541547e+09
2.230000e+02 9.464880e+11 7.545130e+02 1.701738e+03 8.913852e+11 1.454659e+10 2.173627e+10 8.456716e+09
2.240000e+02 9.462615e+11 7.559363e+02 1.709112e+03 8.935809e+11 1.383917e+10 2.056146e+10 8.372056e+09
2.250000e+02 9.459378e+11 7.573595e+02 1.716401e+03 8.955663e+11 1.316509e+10 1.944934e+10 8.287699e+09
2.260000e+02 9.455110e+11 7.587827e+02 1.723618e+03 8.973404e+11 1.252297e+10 1.839699e+10 8.203667e+09
2.270000e+02 9.449840e+11 7.602059e+02 1.730774e+03 8.989107e+11 1.191145e+10 1.740150e+10 8.120051e+09
2.280000e+02 9.443538e+11 7.616292e+02 1.737880e+03 9.002785e+11 1.132918e+10 1.646006e+10 8.036873e+09
2.290000e+02 9.436208e+11 7.630524e+02 1.744945e+03 9.014487e+11 1.077490e+10 1.556993e+10 7.954191e+09
2.300000e+02 9.427906e+11 7.644756e+02 1.751975e+03 9.024309e+11 1.024734e+10 1.472849e+10 7.872102e+09
2.310000e+02 9.418625e+11 7.658989e+02 1.758976e+03 9.032286e+11 9.745302e+09 1.393319e+10 7.790626e+09
2.320000e+02 9.408325e+11 7.673221e+02 1.765954e+03 9.038419e+11 9.267600e+09 1.318161e+10 7.709787e+09
2.330000e+02 9.397071e+11 7.687454e+02 1.772913e+03 9.042809e+11 8.813134e+09 1.247144e+10 7.629662e+09
2.340000e+02 9.384806e+11 7.701686e+02 1.779856e+03 9.045436e+11 8.380809e+09 1.180047e+10 7.550246e+09
2.350000e+02 9.371613e+11 7.715919e+02 1.786785e+03 9.046420e+11 7.969589e+09 1.116655e+10 7.471615e+09
2.360000e+02 9.357458e+11 7.730151e+02 1.793704e+03 9.045760e+11 7.578480e+09 1.056768e+10 7.393786e+09
2.370000e+02 9.342361e+11 7.744383e+02 1.800615e+03 9.043506e+11 7.206529e+09 1.000196e+10 7.316785e+09
2.380000e+02 9.326317e+11 7.758615e+02 1.807517e+03 9.039688e+11 6.852813e+09 9.467549e+09 7.240631e+09
2.390000e+02 9.309320e+11 7.772848e+02 1.814414e+03 9.034326e+11 6.516472e+09 8.962731e+09 7.165339e+09
2.400000e+02 9.291404e+11 7.787080e+02 1.821307e+03 9.027487e+11 6.196666e+09 8.485873e+09 7.090947e+09
2.410000e+02 9.272585e+11 7.801312e+02 1.828195e+03 9.019208e+11 5.892592e+09 8.035403e+09 7.017482e+09
2.420000e+02 9.252870e+11 7.815544e+02 1.835079e+03 9.009526e+11 5.603496e+09 7.609860e+09 6.944951e+09
2.430000e+02 9.232251e+11 7.829777e+02 1.841962e+03 8.998457e+11 5.328647e+09 7.207855e+09 6.873370e+09
2.440000e+02 9.210739e+11 7.844009e+02 1.848842e+03 8.986035e+11 5.067353e+09 6.828064e+09 6.802739e+09
2.450000e+02 9.188361e+11 7.858242e+02 1.855720e+03 8.972310e+11 4.818951e+09 6.469238e+09 6.733091e+09
2.460000e+02 9.165136e+11 7.872474e+02 1.862597e+03 8.957321e+11 4.582811e+09 6.130202e+09 6.664439e+09
