# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
1.114000e+02 2.521403e+02 6.808778e-08 4.927980e-03 3.696299e-05 7.837298e+03 1.415609e+18 1.090735e+18 1.772729e+17 2.803968e+17 6.160287e+13 7.239877e+15 2.818678e+12
1.118600e+02 2.575946e+02 6.296168e-08 4.655545e-03 3.491955e-05 7.837021e+03 1.309033e+18 1.007442e+18 1.608070e+17 2.678953e+17 5.967699e+13 6.570137e+15 2.946502e+12
1.123200e+02 2.632573e+02 5.827845e-08 4.403986e-03 3.303270e-05 7.836743e+03 1.211664e+18 9.313571e+17 1.459963e+17 2.559599e+17 5.782100e+13 5.968517e+15 3.079634e+12
1.127800e+02 2.691204e+02 5.399928e-08 4.171498e-03 3.128889e-05 7.836465e+03 1.122696e+18 8.618535e+17 1.326721e+17 2.445853e+17 5.603461e+13 5.427970e+15 3.218359e+12
1.132400e+02 2.751732e+02 5.008845e-08 3.956410e-03 2.967559e-05 7.836187e+03 1.041386e+18 7.983513e+17 1.206839e+17 2.337586e+17 5.431784e+13 4.942099e+15 3.362995e+12
1.137000e+02 2.814017e+02 4.651379e-08 3.757215e-03 2.818151e-05 7.835910e+03 9.670658e+17 7.403272e+17 1.098955e+17 2.234718e+17 5.267097e+13 4.505234e+15 3.513911e+12
1.141600e+02 2.877888e+02 4.324567e-08 3.572515e-03 2.679614e-05 7.835632e+03 8.991183e+17 6.872985e+17 1.001849e+17 2.137110e+17 5.109390e+13 4.112255e+15 3.671515e+12
1.146200e+02 2.943126e+02 4.025762e-08 3.401061e-03 2.551013e-05 7.835355e+03 8.369939e+17 6.388339e+17 9.144273e+16 2.044658e+17 4.958683e+13 3.758631e+15 3.836260e+12
1.150800e+02 3.009532e+02 3.752482e-08 3.241717e-03 2.431494e-05 7.835077e+03 7.801765e+17 5.945281e+17 8.356916e+16 1.957214e+17 4.814946e+13 3.440205e+15 4.008666e+12
1.155400e+02 3.077047e+02 3.502235e-08 3.093407e-03 2.320252e-05 7.834800e+03 7.281478e+17 5.539773e+17 7.646946e+16 1.874460e+17 4.677858e+13 3.153131e+15 4.188981e+12
1.160000e+02 3.145648e+02 3.272820e-08 2.955219e-03 2.216603e-05 7.834522e+03 6.804502e+17 5.168207e+17 7.006076e+16 1.796170e+17 4.547045e+13 2.893949e+15 4.377479e+12
1.164600e+02 3.215299e+02 3.062238e-08 2.826297e-03 2.119903e-05 7.834245e+03 6.366682e+17 4.827341e+17 6.426879e+16 1.722056e+17 4.422185e+13 2.659661e+15 4.574399e+12
1.169200e+02 3.285964e+02 2.868692e-08 2.705853e-03 2.029562e-05 7.833967e+03 5.964281e+17 4.514242e+17 5.902769e+16 1.651877e+17 4.302995e+13 2.447570e+15 4.780023e+12
1.173800e+02 3.357603e+02 2.690635e-08 2.593233e-03 1.945090e-05 7.833690e+03 5.594084e+17 4.226385e+17 5.428067e+16 1.585424e+17 4.189090e+13 2.255368e+15 4.994649e+12
1.178400e+02 3.430169e+02 2.526604e-08 2.487770e-03 1.865986e-05 7.833412e+03 5.253049e+17 3.961393e+17 4.997515e+16 1.522460e+17 4.079594e+13 2.080914e+15 5.218543e+12
1.183000e+02 3.503609e+02 2.375342e-08 2.388908e-03 1.791833e-05 7.833135e+03 4.938561e+17 3.717195e+17 4.606627e+16 1.462817e+17 3.974246e+13 1.922408e+15 5.452023e+12
1.187600e+02 3.577866e+02 2.235706e-08 2.296129e-03 1.722243e-05 7.832858e+03 4.648245e+17 3.491942e+17 4.251342e+16 1.406284e+17 3.872887e+13 1.778209e+15 5.695405e+12
