# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
1.100200e+02 2.456030e+02 7.110281e-08 5.012773e-03 3.759899e-05 7.838132e+03 1.478295e+18 1.194735e+18 2.296594e+17 1.035260e+17 4.482786e+13 8.639783e+15 7.844151e+11
1.104800e+02 2.497167e+02 6.581934e-08 4.718007e-03 3.538806e-05 7.837854e+03 1.368446e+18 1.107041e+18 2.103295e+17 9.876100e+16 4.330299e+13 7.879216e+15 8.239993e+11
1.109400e+02 2.539989e+02 6.097086e-08 4.445408e-03 3.334340e-05 7.837576e+03 1.267642e+18 1.026429e+18 1.927368e+17 9.431385e+16 4.183391e+13 7.190459e+15 8.653254e+11
1.114000e+02 2.584512e+02 5.651940e-08 4.193084e-03 3.145080e-05 7.837298e+03 1.175092e+18 9.522977e+17 1.767207e+17 9.014874e+16 4.041906e+13 6.566565e+15 9.084486e+11
1.118600e+02 2.630745e+02 5.243150e-08 3.959392e-03 2.969797e-05 7.837021e+03 1.090100e+18 8.841147e+17 1.621397e+17 8.623676e+16 3.905681e+13 6.001230e+15 9.534238e+11
1.123200e+02 2.678694e+02 4.867584e-08 3.742778e-03 2.807322e-05 7.836743e+03 1.012017e+18 8.213804e+17 1.488615e+17 8.255212e+16 3.774580e+13 5.488814e+15 1.000314e+12
1.127800e+02 2.728357e+02 4.522441e-08 3.541862e-03 2.656622e-05 7.836465e+03 9.402582e+17 7.636486e+17 1.367664e+17 7.907476e+16 3.648446e+13 5.024198e+15 1.049182e+12
1.132400e+02 2.779726e+02 4.205092e-08 3.355328e-03 2.516710e-05 7.836187e+03 8.742783e+17 7.104947e+17 1.257456e+17 7.578664e+16 3.527153e+13 4.602684e+15 1.100088e+12
1.137000e+02 2.832784e+02 3.913214e-08 3.182032e-03 2.386727e-05 7.835910e+03 8.135941e+17 6.615455e+17 1.157016e+17 7.267299e+16 3.410564e+13 4.220188e+15 1.153098e+12
1.141600e+02 2.887503e+02 3.644639e-08 3.020887e-03 2.265858e-05 7.835632e+03 7.577549e+17 6.164511e+17 1.065436e+17 6.972135e+16 3.298555e+13 3.872909e+15 1.208287e+12
1.146200e+02 2.943842e+02 3.397397e-08 2.870901e-03 2.153359e-05 7.835355e+03 7.063509e+17 5.748904e+17 9.819171e+16 6.692017e+16 3.190989e+13 3.557460e+15 1.265728e+12
1.150800e+02 3.001763e+02 3.169686e-08 2.731179e-03 2.048558e-05 7.835077e+03 6.590078e+17 5.365713e+17 9.057146e+16 6.426017e+16 3.087747e+13 3.270771e+15 1.325497e+12
1.155400e+02 3.061268e+02 2.959833e-08 2.600915e-03 1.950852e-05 7.834800e+03 6.153773e+17 5.012209e+17 8.361461e+16 6.173177e+16 2.988671e+13 3.010064e+15 1.387659e+12
1.160000e+02 3.122366e+02 2.766279e-08 2.479347e-03 1.859668e-05 7.834522e+03 5.751356e+17 4.685843e+17 7.725881e+16 5.932625e+16 2.893556e+13 2.772743e+15 1.452259e+12
1.164600e+02 3.185058e+02 2.587653e-08 2.365815e-03 1.774512e-05 7.834245e+03 5.379975e+17 4.384374e+17 7.144883e+16 5.703602e+16 2.802255e+13 2.556590e+15 1.519363e+12
1.169200e+02 3.249339e+02 2.422668e-08 2.259678e-03 1.694902e-05 7.833967e+03 5.036957e+17 4.105688e+17 6.613359e+16 5.485395e+16 2.714621e+13 2.359558e+15 1.589023e+12
1.173800e+02 3.315199e+02 2.270178e-08 2.160364e-03 1.620411e-05 7.833690e+03 4.719914e+17 3.847897e+17 6.126791e+16 5.277403e+16 2.630456e+13 2.179804e+15 1.661303e+12
1.178400e+02 3.382619e+02 2.129157e-08 2.067371e-03 1.550660e-05 7.833412e+03 4.426719e+17 3.609312e+17 5.681102e+16 5.079147e+16 2.549242e+13 2.015692e+15 1.736274e+12
1.183000e+02 3.451572e+02 1.998651e-08 1.980211e-03 1.485285e-05 7.833135e+03 4.155384e+17 3.388360e+17 5.272594e+16 4.890069e+16 2.470811e+13 1.865761e+15 1.814007e+12
1.187600e+02 3.522016e+02 1.877795e-08 1.898441e-03 1.423952e-05 7.832858e+03 3.904113e+17 3.183613e+17 4.897860e+16 4.709694e+16 2.395118e+13 1.728662e+15 1.894552e+12
1.192200e+02 3.593906e+02 1.765818e-08 1.821672e-03 1.366370e-05 7.832580e+03 3.671302e+17 2.993788e+17 4.553969e+16 4.537658e+16 2.322111e+13 1.603228e+15 1.978021e+12
1.196800e+02 3.667177e+02 1.661998e-08 1.749524e-03 1.312255e-05 7.832303e+03 3.455451e+17 2.817689e+17 4.238152e+16 4.373543e+16 2.251730e+13 1.488372e+15 2.064474e+12
1.201400e+02 3.741755e+02 1.565691e-08 1.681663e-03 1.261354e-05 7.832026e+03 3.255220e+17 2.654248e+17 3.947927e+16 4.217022e+16 2.183929e+13 1.383137e+15 2.154042e+12
1.206000e+02 3.817547e+02 1.476311e-08 1.617781e-03 1.213439e-05 7.831749e+03 3.069389e+17 2.502480e+17 3.681125e+16 4.067775e+16 2.118656e+13 1.286642e+15 2.246817e+12
1.210600e+02 3.894447e+02 1.393311e-08 1.557583e-03 1.168287e-05 7.831472e+03 2.896825e+17 2.361476e+17 3.435703e+16 3.925468e+16 2.055866e+13 1.198093e+15 2.342919e+12
1.215200e+02 3.972328e+02 1.316214e-08 1.500822e-03 1.125712e-05 7.831194e+03 2.736534e+17 2.230437e+17 3.209893e+16 3.789867e+16 1.995511e+13 1.116803e+15 2.442488e+12
1.219800e+02 4.051049e+02 1.244559e-08 1.447240e-03 1.085522e-05 7.830917e+03 2.587556e+17 2.108594e+17 3.001961e+16 3.660658e+16 1.937547e+13 1.042110e+15 2.545681e+12
1.224400e+02 4.130441e+02 1.177928e-08 1.396603e-03 1.047541e-05 7.830640e+03 2.449025e+17 1.995244e+17 2.810387e+16 3.537628e+16 1.881935e+13 9.734501e+14 2.652652e+12
1.229000e+02 4.210318e+02 1.115961e-08 1.348719e-03 1.011625e-05 7.830363e+03 2.320188e+17 1.889787e+17 2.633826e+16 3.420529e+16 1.828635e+13 9.103678e+14 2.763602e+12
1.233600e+02 4.290470e+02 1.058304e-08 1.303385e-03 9.776218e-06 7.830086e+03 2.200313e+17 1.791628e+17 2.470982e+16 3.309156e+16 1.777604e+13 8.523663e+14 2.878760e+12
1.238200e+02 4.370663e+02 1.004644e-08 1.260424e-03 9.453987e-06 7.829809e+03 2.088749e+17 1.700248e+17 2.320728e+16 3.203217e+16 1.728809e+13 7.990108e+14 2.998162e+12
1.242800e+02 4.450639e+02 9.546834e-09 1.219661e-03 9.148237e-06 7.829532e+03 1.984877e+17 1.615154e+17 2.182015e+16 3.102327e+16 1.682209e+13 7.498873e+14 3.121922e+12
1.247400e+02 4.530113e+02 9.081581e-09 1.180941e-03 8.857806e-06 7.829255e+03 1.888146e+17 1.535898e+17 2.053909e+16 3.006331e+16 1.637776e+13 7.046427e+14 3.250310e+12
1.252000e+02 4.608784e+02 8.648273e-09 1.144125e-03 8.581663e-06 7.828978e+03 1.798058e+17 1.462072e+17 1.935548e+16 2.915121e+16 1.595471e+13 6.629428e+14 3.383620e+12
1.256600e+02 4.686488e+02 8.244366e-09 1.109079e-03 8.318797e-06 7.828701e+03 1.714082e+17 1.393247e+17 1.826079e+16 2.828421e+16 1.555208e+13 6.244663e+14 3.522082e+12
1.261200e+02 4.763225e+02 7.867312e-09 1.075685e-03 8.068321e-06 7.828425e+03 1.635688e+17 1.328992e+17 1.724677e+16 2.745935e+16 1.516853e+13 5.889018e+14 3.665767e+12
1.265800e+02 4.839009e+02 7.514793e-09 1.043833e-03 7.829413e-06 7.828148e+03 1.562397e+17 1.268912e+17 1.630601e+16 2.667368e+16 1.480277e+13 5.559788e+14 3.814777e+12
1.270400e+02 4.913853e+02 7.184720e-09 1.013420e-03 7.601296e-06 7.827871e+03 1.493771e+17 1.212651e+17 1.543207e+16 2.592457e+16 1.445356e+13 5.254503e+14 3.969209e+12
1.275000e+02 4.987767e+02 6.875273e-09 9.843593e-04 7.383322e-06 7.827594e+03 1.429434e+17 1.159905e+17 1.461894e+16 2.520944e+16 1.411993e+13 4.971016e+14 4.129130e+12
1.279600e+02 5.060764e+02 6.584756e-09 9.565623e-04 7.174827e-06 7.827318e+03 1.369033e+17 1.110380e+17 1.386145e+16 2.452640e+16 1.380084e+13 4.707402e+14 4.294645e+12
1.284200e+02 5.132854e+02 6.311685e-09 9.299545e-04 6.975251e-06 7.827041e+03 1.312259e+17 1.063830e+17 1.315484e+16 2.387305e+16 1.349537e+13 4.461916e+14 4.465836e+12
1.288800e+02 5.204052e+02 6.054675e-09 9.044613e-04 6.784036e-06 7.826764e+03 1.258824e+17 1.020015e+17 1.249486e+16 2.324779e+16 1.320272e+13 4.233003e+14 4.642810e+12
1.293400e+02 5.274364e+02 5.812521e-09 8.800192e-04 6.600705e-06 7.826488e+03 1.208478e+17 9.787334e+16 1.187773e+16 2.264878e+16 1.292216e+13 4.019269e+14 4.825621e+12
1.298000e+02 5.343806e+02 5.584108e-09 8.565683e-04 6.424808e-06 7.826211e+03 1.160989e+17 9.397935e+16 1.130001e+16 2.207457e+16 1.265289e+13 3.819477e+14 5.014382e+12
1.302600e+02 5.412385e+02 5.368416e-09 8.340505e-04 6.255911e-06 7.825934e+03 1.116144e+17 9.030226e+16 1.075856e+16 2.152370e+16 1.239431e+13 3.632484e+14 5.209156e+12
1.307200e+02 5.480113e+02 5.164537e-09 8.124159e-04 6.093637e-06 7.825658e+03 1.073756e+17 8.682661e+16 1.025059e+16 2.099481e+16 1.214584e+13 3.457293e+14 5.410047e+12
