# IRI ion data (2011-04-10T00:00:00 UTC, lat=40.793 lon=-77.860)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.790000e+02 3.484440e+10 7.931733e+02 1.162352e+03 2.439465e+09 6.040518e+09 2.618821e+10 4.173120e+07
1.800000e+02 3.606319e+10 7.971488e+02 1.175606e+03 2.728857e+09 6.320011e+09 2.682301e+10 4.609460e+07
1.810000e+02 3.735719e+10 8.010516e+02 1.188785e+03 3.054607e+09 6.620604e+09 2.747407e+10 5.096005e+07
1.820000e+02 3.873503e+10 8.048831e+02 1.201873e+03 3.421577e+09 6.946740e+09 2.814056e+10 5.639325e+07
1.830000e+02 4.020704e+10 8.086445e+02 1.214854e+03 3.838487e+09 7.289836e+09 2.883229e+10 6.251873e+07
1.840000e+02 4.178568e+10 8.123374e+02 1.227706e+03 4.312209e+09 7.657858e+09 2.954666e+10 6.942806e+07
1.850000e+02 4.348631e+10 8.159628e+02 1.240405e+03 4.852680e+09 8.053007e+09 3.028652e+10 7.725926e+07
1.860000e+02 4.532818e+10 8.195220e+02 1.252922e+03 5.472358e+09 8.477706e+09 3.105579e+10 8.618384e+07
1.870000e+02 4.733583e+10 8.230162e+02 1.265227e+03 6.186962e+09 8.935490e+09 3.185915e+10 9.641995e+07
1.880000e+02 4.954157e+10 8.264468e+02 1.277285e+03 7.016977e+09 9.430855e+09 3.270317e+10 1.082501e+08
1.890000e+02 5.198942e+10 8.298148e+02 1.289057e+03 7.989737e+09 9.970452e+09 3.359683e+10 1.220541e+08
1.900000e+02 5.466028e+10 8.331215e+02 1.300503e+03 9.118894e+09 1.054418e+10 3.451732e+10 1.379888e+08
1.910000e+02 5.743403e+10 8.363678e+02 1.311580e+03 1.038520e+10 1.111817e+10 3.539916e+10 1.557176e+08
1.920000e+02 6.030889e+10 8.395549e+02 1.322246e+03 1.180029e+10 1.168691e+10 3.623429e+10 1.753733e+08
1.930000e+02 6.328611e+10 8.426841e+02 1.332461e+03 1.337710e+10 1.224518e+10 3.701612e+10 1.970994e+08
1.940000e+02 6.636694e+10 8.457563e+02 1.342189e+03 1.512879e+10 1.278781e+10 3.773774e+10 2.210402e+08
1.950000e+02 6.955241e+10 8.487726e+02 1.351401e+03 1.706844e+10 1.330952e+10 3.839233e+10 2.473298e+08
1.960000e+02 7.284344e+10 8.517340e+02 1.360074e+03 1.920894e+10 1.380488e+10 3.897327e+10 2.760901e+08
1.970000e+02 7.624084e+10 8.546415e+02 1.368197e+03 2.156272e+10 1.426837e+10 3.947449e+10 3.074210e+08
1.980000e+02 7.974519e+10 8.574962e+02 1.375770e+03 2.414132e+10 1.469492e+10 3.989017e+10 3.414070e+08
1.990000e+02 8.335699e+10 8.602989e+02 1.382801e+03 2.695502e+10 1.508004e+10 4.021518e+10 3.781062e+08
2.000000e+02 8.707651e+10 8.630507e+02 1.389311e+03 3.001267e+10 1.541915e+10 4.044573e+10 4.175244e+08
2.010000e+02 9.090394e+10 8.657526e+02 1.395329e+03 3.332143e+10 1.570874e+10 4.057861e+10 4.596526e+08
2.020000e+02 9.483916e+10 8.684053e+02 1.400890e+03 3.688654e+10 1.594582e+10 4.061189e+10 5.044354e+08
2.030000e+02 9.888190e+10 8.710099e+02 1.406034e+03 4.071067e+10 1.612859e+10 4.054478e+10 5.517843e+08
2.040000e+02 1.030318e+11 8.735672e+02 1.410801e+03 4.479447e+10 1.625568e+10 4.037822e+10 6.015415e+08
2.050000e+02 1.072882e+11 8.760781e+02 1.415236e+03 4.913619e+10 1.632687e+10 4.011395e+10 6.535396e+08
2.060000e+02 1.116502e+11 8.785435e+02 1.419378e+03 5.373220e+10 1.634264e+10 3.975496e+10 7.075691e+08
2.070000e+02 1.161168e+11 8.809641e+02 1.423266e+03 5.857584e+10 1.630483e+10 3.930556e+10 7.633997e+08
2.080000e+02 1.206867e+11 8.833408e+02 1.426937e+03 6.365893e+10 1.621554e+10 3.877125e+10 8.207335e+08
2.090000e+02 1.253584e+11 8.856744e+02 1.430422e+03 6.897159e+10 1.607773e+10 3.815805e+10 8.792984e+08
2.100000e+02 1.301303e+11 8.879659e+02 1.433749e+03 7.450273e+10 1.589473e+10 3.747263e+10 9.388051e+08
2.110000e+02 1.350004e+11 8.902157e+02 1.436943e+03 8.023917e+10 1.567073e+10 3.672268e+10 9.989341e+08
2.120000e+02 1.399666e+11 8.924249e+02 1.440027e+03 8.616733e+10 1.540997e+10 3.591589e+10 1.059382e+09
2.130000e+02 1.450264e+11 8.945940e+02 1.443017e+03 9.227320e+10 1.511675e+10 3.506012e+10 1.119862e+09
2.140000e+02 1.501774e+11 8.967239e+02 1.445931e+03 9.854260e+10 1.479538e+10 3.416309e+10 1.180101e+09
2.150000e+02 1.554166e+11 8.988152e+02 1.448780e+03 1.049604e+11 1.445051e+10 3.323280e+10 1.239822e+09
2.160000e+02 1.607410e+11 9.008688e+02 1.451576e+03 1.115122e+11 1.408641e+10 3.227671e+10 1.298786e+09
2.170000e+02 1.661473e+11 9.028851e+02 1.454329e+03 1.181840e+11 1.370706e+10 3.130182e+10 1.356794e+09
2.180000e+02 1.716320e+11 9.048651e+02 1.457045e+03 1.249648e+11 1.331591e+10 3.031281e+10 1.413201e+09
2.190000e+02 1.771915e+11 9.068093e+02 1.459732e+03 1.318362e+11 1.291698e+10 2.931974e+10 1.468681e+09
2.200000e+02 1.828216e+11 9.087183e+02 1.462394e+03 1.387879e+11 1.251332e+10 2.832623e+10 1.522694e+09
2.210000e+02 1.885184e+11 9.105929e+02 1.465036e+03 1.458085e+11 1.210764e+10 2.733713e+10 1.575146e+09
2.220000e+02 1.942775e+11 9.124336e+02 1.467661e+03 1.528867e+11 1.170234e+10 2.635691e+10 1.625906e+09
2.230000e+02 2.000941e+11 9.142411e+02 1.470273e+03 1.600117e+11 1.129975e+10 2.538938e+10 1.674950e+09
